date,FA266905095.A,FA266903001.A,FA266904195.A,FA266400101.A,FA266900095.A,FA266903011.A,FA266904095.A,FA266400201.A,FA266000095.A,FA266000095.A,FA265440005.A,FA265420095.A,FA265000905.A,FA265000905.A,FA264090005.A,FA263011005.A,FA263011205.A,FA313111303.A,FA264000005.A,FA263025003.A,FA263027003.A,FA263030005.A,FA264016005.A,FA264022005.A,FA263069103.A,FA263061105.A,FA263061705.A,FA263062003.A,FA263063005.A,FA264035005.A,FA264041005.A,FA262051005.A,FA263069500.A,FA263092303.A,FA263081005.A,FA263034003.A,FA263064105.A,FA263064203.A,FA263092101.A,FA263052005.A,FA263076005.A,FA543141905.A,FA543151905.A,FA263070005.A,FA264194005.A,FA313011303.A,FA264100005.A,FA263111503.A,FA263111403.A,FA263191005.A,FA313091105.A,FA264122005.A,FA263169105.A,FA263163005.A,FA264135005.A,FA264141005.A,FA262151003.A,FA263169005.A,FA263168005.A,FA713091103.A,FA263192305.A,FA263181105.A,FA263164100.A,FA313092803.A,FA263192101.A,FA263194735.A,FA263152005.A,FA263170005.A,FA265000005.A,FV268090185.A,FV268090085.A,FU267005005.A,FR264090005.A,FR263011005.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263063005.A,FR263092303.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092101.A,FR263070005.A,FR264194005.A,FR313011303.A,FR264100005.A,FR263111503.A,FR263111403.A,FR263191005.A,FR263191103.A,FR263163005.A,FR264135005.A,FR263169203.A,FR263192305.A,FR263181105.A,FR263164100.A,FR263192101.A,FR263152005.A,FR263170005.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL263030005.A,FL264016005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,FL263062003.A,LM263063005.A,FL264035005.A,FL264041005.A,FL262051005.A,FL263069500.A,FL263092303.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,LM263092101.A,FL263052005.A,FL263076005.A,FL543141905.A,FL543151905.A,LM263070005.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL263111503.A,FL263111403.A,LM263191005.A,FL313091105.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264135005.A,FL264141005.A,FL262151003.A,FL263169005.A,FL263168005.A,FL713091103.A,FL263192305.A,FL263181105.A,LM263164100.A,FL313092803.A,LM263192101.A,FL263194735.A,FL263152005.A,LM263170005.A,FL262090095.A
1960,28761,22841,1775,4145,31933,27045,4888,0,-3171,-3171,0,0,-3171,-3171,4307,1703,1703,0,1054,0,-18,284,788,904,534,291,0,0,79,64,0,0,0,64,454,0,203,0,251,0,0,0,0,128,5766,0,89,0,-442,3,528,577,0,577,1273,1159,0,1053,106,0,114,3066,86,154,2826,0,0,761,-1459,1712,0,-1712,-1961,-1703,0,0,0,0,0,0,2,-260,-264,0,4,0,-680,0,13,0,0,13,0,0,-35,0,-35,-658,209,-867,0,0,-1281,-2740,36920,0,7184,0,2122,2859,2203,12610,1291,10651,0,0,668,1429,0,0,0,1429,14798,0,9302,0,5496,0,0,0,0,899,36920,65461,0,4643,0,1555,148,2940,5784,0,5784,17875,16636,0,14391,2245,0,1239,35434,3984,824,30626,0,0,1725,-28541
1961,28695,22688,1788,4219,32909,27602,5307,0,-4214,-4214,0,-1,-4213,-4213,3145,857,857,0,914,0,976,52,-114,454,69,384,0,0,1,65,0,0,0,65,569,0,323,0,246,0,0,0,0,286,5849,0,600,116,135,88,261,437,0,437,1659,1556,0,1074,482,0,103,3047,325,171,2551,0,0,106,-2704,1509,0,-1509,1343,-857,0,0,0,0,0,0,3,2197,2183,0,14,0,791,0,0,0,0,0,0,0,8,0,8,783,593,190,0,0,552,-2152,41408,0,8098,0,3098,2911,2089,13064,1360,11035,0,0,669,1497,0,0,0,1497,17564,0,11808,0,5756,0,0,0,0,1185,41408,72101,0,5243,116,1690,236,3201,6221,0,6221,19542,18192,0,15465,2727,0,1350,39264,4902,995,33367,0,0,1831,-30693
1962,31207,24965,1847,4395,35006,29066,5940,0,-3800,-3800,0,1,-3801,-3801,3363,890,890,0,280,0,135,498,-353,1733,27,1344,337,0,25,72,0,0,0,72,383,0,109,0,274,0,0,0,0,5,4753,0,-523,-17,-626,-125,245,994,0,994,973,861,0,681,180,0,112,2836,-25,122,2739,0,0,473,-1390,2411,0,-2411,-2515,-890,0,0,0,0,0,0,-10,-1615,-1581,0,-34,0,224,0,679,0,0,679,0,0,-12,0,-12,-443,-163,-280,0,0,-2739,-4129,42256,0,8378,0,3233,3409,1736,14797,1387,12379,337,0,694,1559,0,0,0,1559,16332,0,10336,0,5996,0,0,0,0,1190,42256,77078,0,5399,99,1064,790,3446,7215,0,7215,20503,19053,0,16146,2907,0,1450,41657,4714,1117,35826,0,0,2304,-34822
1963,32658,26136,2053,4469,37605,31075,6530,0,-4947,-4947,0,0,-4947,-4947,3636,461,461,0,1234,0,266,851,117,1096,50,654,335,0,57,48,0,0,0,48,408,0,225,0,183,0,0,0,0,389,6680,0,322,113,-29,-209,447,993,0,993,2198,2063,0,1626,437,0,135,3522,112,62,3348,0,0,-355,-3044,1874,-29,-1903,1512,-461,0,0,0,0,0,0,10,1963,1924,0,39,0,446,0,150,0,0,150,0,0,-1,0,-1,297,319,-22,0,0,1066,-2007,47404,0,9612,0,3499,4260,1853,15893,1437,13033,672,0,751,1617,0,0,0,1617,18703,0,12485,0,6218,0,0,0,0,1579,47404,84233,0,5871,212,1035,731,3893,8208,0,8208,22729,21145,0,17772,3373,0,1584,45476,5145,1179,39152,0,0,1949,-36829
1964,34791,28105,2319,4367,42258,35019,7239,0,-7468,-7468,0,0,-7468,-7468,3688,125,125,0,2140,0,959,1255,-74,1015,183,288,336,0,208,67,0,0,0,67,-37,0,-292,0,255,0,0,0,0,378,8309,0,76,220,-266,103,19,467,0,467,3083,2937,0,1957,980,0,146,3935,211,112,3612,0,0,748,-4621,6462,3615,-2847,1507,-125,0,0,0,0,0,0,-3,1635,1642,0,-7,0,163,0,263,0,0,263,0,0,0,0,0,-100,-86,-14,0,0,1344,338,56394,0,15547,3795,4458,5515,1779,16908,1620,13321,1008,0,959,1681,0,0,0,1681,20301,0,13835,0,6466,0,0,0,0,1957,56394,92885,0,6210,432,769,1097,3912,8675,0,8675,25992,24262,0,19718,4544,0,1730,49311,5270,1291,42750,0,0,2697,-36491
1965,38870,31529,2602,4739,45027,37146,7881,0,-6158,-6158,0,0,-6158,-6158,3236,1666,1666,0,796,131,125,566,-26,477,362,-265,336,0,44,86,0,0,0,86,-72,0,-400,0,328,0,0,0,0,283,7850,0,147,349,94,-312,16,460,0,460,2156,1961,0,1522,439,0,195,5115,299,0,4816,0,0,-28,-4614,1597,53,-1544,-531,-1666,0,0,0,0,0,0,-6,1141,1164,0,-23,0,5394,0,-4,0,0,-4,0,0,230,0,230,5168,-521,5689,0,0,-5925,-10486,59099,0,16343,3926,4583,6081,1753,17385,1982,13056,1344,0,1003,1761,0,0,0,1761,21370,0,14599,0,6771,0,0,0,0,2240,59099,106076,0,6353,781,863,781,3928,9135,0,9135,28325,26170,0,21187,4983,0,2155,59594,5048,1291,53255,0,0,2669,-46977
1966,45183,37058,3001,5124,48991,40920,8071,0,-3808,-3808,0,-1,-3807,-3807,4910,571,571,0,3739,336,380,332,2691,-124,230,-1904,336,0,1214,88,0,0,0,88,33,0,-305,0,338,0,0,0,0,603,7899,0,372,540,-537,104,265,735,0,735,1358,1147,0,1328,-181,0,211,5092,-15,-100,5207,0,0,342,-2989,728,-90,-818,-2233,-571,0,0,0,0,0,0,-3,-1659,-1651,0,-8,0,-2495,0,0,0,0,0,0,0,-70,0,-70,-2425,-709,-1716,0,0,262,-2817,61776,0,20082,4262,4963,6413,4444,17261,2212,11152,1680,0,2217,1846,0,0,0,1846,19744,0,12643,0,7101,0,0,0,0,2843,61776,111570,0,6725,1321,326,885,4193,9870,0,9870,29703,27407,0,22605,4802,0,2296,62261,4324,1191,56746,0,0,3011,-49794
1967,48666,39912,3289,5465,52149,43467,8682,0,-3483,-3483,0,1,-3484,-3484,8938,1170,1170,0,2796,235,327,1266,968,2776,35,2087,336,0,318,144,0,0,0,144,1252,0,698,0,554,0,0,0,0,800,10943,0,992,1024,94,84,-210,1216,0,1216,3146,2959,0,2913,46,0,187,4904,92,193,4619,0,0,685,-2005,1479,0,-1479,11063,-1170,0,0,0,0,0,0,13,12220,12170,0,50,0,2670,0,86,0,0,86,0,0,69,0,69,2515,822,1693,0,0,8393,6388,81777,0,22878,4497,5290,7679,5412,20037,2247,13239,2016,0,2535,2003,0,0,0,2003,33216,0,25511,0,7705,0,0,0,0,3643,81777,125183,0,7803,2345,420,1055,3983,11086,0,11086,32918,30366,0,25518,4848,0,2552,69680,5238,1384,63058,0,0,3696,-43406
1968,56475,46556,4017,5902,58008,47906,10102,0,-1533,-1533,0,0,-1533,-1533,11094,1173,1173,0,2665,289,561,-270,2085,2569,579,-662,336,0,2316,167,0,0,0,167,2738,0,2097,0,641,0,0,0,0,1782,11705,0,2514,1175,870,532,-63,1084,0,1084,1796,1591,0,2050,-459,0,205,5702,485,128,5089,0,0,609,-611,922,0,-922,688,-1173,0,0,0,0,0,0,-10,1871,1909,0,-38,0,3502,0,8,8,0,0,0,0,108,0,108,3386,729,2657,0,0,-2814,-3425,93559,0,25543,4786,5851,7409,7497,22606,2826,12577,2352,0,4851,2160,0,0,0,2160,37825,0,29517,0,8308,0,0,0,0,5425,93559,140390,0,10325,3528,1290,1587,3920,12170,0,12170,34822,31957,0,27568,4389,0,2865,78768,6452,1512,70804,0,0,4305,-46831
1969,62098,50492,5664,5942,63701,51922,11779,0,-1604,-1604,-2,0,-1602,-1602,17534,-967,-967,0,14276,493,324,1380,12079,558,994,-2337,336,0,1565,259,0,0,0,259,2569,0,1565,0,1004,0,0,0,0,839,9960,0,-289,-820,1034,-414,-89,1028,0,1028,2197,1966,0,2421,-455,0,231,6433,521,184,5728,0,0,591,7574,4349,-4827,-9176,-3401,967,0,0,0,0,0,0,-8,-4360,-4321,0,-39,0,3498,0,73,73,0,0,0,0,135,0,135,3290,-20,3310,0,0,-6899,-4152,102865,0,34992,5279,6175,8789,14749,23164,3820,10240,2688,0,6416,2411,0,0,0,2411,36034,0,26761,0,9273,0,0,0,0,6264,102865,153848,0,10109,2781,2324,1173,3831,13198,0,13198,37154,33923,0,29989,3934,0,3231,88491,6953,1696,79842,0,0,4896,-50983
1970,68818,55760,6440,6618,72542,59709,12833,0,-3724,-3724,-5,0,-3719,-3719,10081,1654,787,867,-7003,464,521,-1664,-6324,11796,487,9492,324,0,1493,302,0,0,0,302,1859,0,697,0,1162,0,0,0,0,1473,9809,851,-2903,-2155,-389,-375,16,874,0,874,2293,1998,0,2139,-141,0,295,7730,202,233,7295,0,0,964,272,3991,0,-3991,-960,-787,0,0,0,0,0,0,16,-189,-249,0,60,0,3107,0,3,3,0,0,0,0,143,0,143,2961,-582,3543,0,0,-4067,-3795,111986,867,27989,5743,6696,7125,8425,34960,4307,19732,3012,0,7909,2729,0,0,0,2729,37704,0,27209,0,10495,0,0,0,0,7737,111986,166764,851,7209,629,1935,798,3847,14072,0,14072,39590,35921,0,32128,3793,0,3669,99182,6573,1929,90680,0,0,5860,-54778
1971,76663,62342,6417,7904,76974,62963,14011,0,-311,-311,-16,-1,-294,-294,25624,1583,866,717,-4869,479,-193,329,-5484,27887,-159,26554,39,0,1453,76,0,0,0,76,1128,0,836,0,292,0,0,0,0,-181,7871,249,-1477,-381,-1350,436,-182,940,0,940,3400,3246,0,2120,1126,0,154,4198,173,247,3778,0,0,561,17753,18580,533,-18047,1930,-730,0,0,0,0,0,0,6,2790,2766,0,24,-136,6642,94,32,32,0,0,0,0,218,0,218,6298,895,5403,0,0,-4712,13574,140073,1720,23653,6222,6503,7454,3474,62847,4148,46286,3051,0,9362,2811,0,0,0,2811,41622,0,30811,0,10811,0,0,0,0,7420,140073,181277,1194,5764,280,585,1234,3665,15012,0,15012,43208,39167,0,34248,4919,0,4041,109678,7641,2176,99861,0,0,6421,-41204
1972,91162,74216,7720,9227,87121,70843,16278,0,4041,4041,-30,0,4071,4071,19333,1257,547,710,3311,584,1602,2904,-1779,10331,-62,8174,145,0,2074,196,0,0,0,196,3186,0,2434,0,752,0,0,0,0,1052,7257,703,620,1,-153,938,-166,1030,0,1030,2443,2360,0,418,1942,0,83,1903,-411,271,2043,0,0,558,12076,9956,1951,-8005,5434,-486,0,0,0,0,0,0,34,5947,5814,0,133,-61,22843,61,-7,-40,33,0,0,0,757,0,757,22032,3307,18725,0,0,-17409,-3382,166791,2491,28915,6806,8270,10580,3259,73178,4086,54460,3196,0,11436,3041,0,0,0,3041,50755,0,39059,0,11696,0,0,0,0,8411,166791,211377,1958,6377,241,465,2172,3499,16042,0,16042,46408,41527,0,34666,6861,0,4881,133613,10537,2447,120629,0,0,6979,-44586
1973,109949,91159,10922,7868,118811,95270,23541,0,-8861,-8861,-37,-1,-8823,-8823,11778,0,0,0,2356,939,2895,2812,-4290,1488,301,-157,52,0,1292,1009,432,400,32,577,4986,0,2763,0,2223,0,0,0,0,1939,2434,-9,1611,-182,33,1157,603,958,0,958,3397,3713,0,2598,1115,0,-316,-5226,-286,373,-7813,2500,0,1703,9344,18267,100,-18167,-7998,276,0,0,0,0,0,0,64,-8062,-8306,0,244,-276,8860,217,3,-51,54,0,0,0,345,0,345,8295,-225,8520,0,0,-16858,-7414,170671,2767,31271,7745,11165,13392,-1031,74666,4387,54303,3248,0,12728,4214,532,500,32,3682,47679,0,33516,0,14163,0,0,0,0,10074,170671,222671,2166,7991,8,552,3329,4102,17000,0,17000,50150,45240,0,37264,7976,0,4910,136682,10026,2820,121336,2500,0,8682,-52000
1974,150500,127465,14300,8735,156470,126650,29820,0,-5970,-5970,-36,0,-5934,-5934,20423,0,0,0,8192,986,2826,7731,-3351,4879,413,3967,-467,0,966,1228,246,25,221,982,4018,0,239,0,3779,0,0,0,0,2106,24658,172,557,33,1265,-200,-541,2553,181,2372,8610,8258,0,6718,1540,0,352,9718,-519,537,8700,1000,0,3048,-4235,1699,0,-1699,-9834,42,0,0,0,0,0,0,1,-9835,-9834,0,-1,-42,1356,36,1816,-36,35,1817,0,0,0,0,0,-496,-496,0,0,0,-11190,-15425,181260,2809,39463,8731,13991,21123,-4382,79545,4800,58270,2781,0,13694,5443,778,525,253,4665,41862,0,23921,0,17941,0,0,0,0,12138,181260,248685,2374,10364,5,1852,4946,3561,19553,181,19372,58760,53498,0,43982,9516,0,5262,145904,9011,3357,130036,3500,0,11730,-67425
