date,FA316902505.A,FA316300001.A,FA316902605.A,FA316025001.A,FA316020001.A,FA316401005.A,FA316402101.A,FA316140005.A,FA316402101.A,FA316240001.A,FA316402015.A,FA316150195.A,FA316130101.A,FA316121105.A,FA316112101.A,FA316130095.A,FA316140005.A,FA316220001.A,FA316601001.A,FA316404001.A,FA316403105.A,FA316403001.A,FA316012005.A,FA316901001.A,FA316006085.A,FA316006385.A,FA316006085.A,FA315440005.A,FA315050905.A,FA315019001.A,FA316300001.A,FA315420003.A,FA315000995.A,FA315000995.A,FA314090005.A,FA313011105.A,FA313011205.A,FA313011303.A,FA314000005.A,FA313011505.A,FA313011405.A,FA313020005.A,FA313030003.A,FA313091105.A,FA314022005.A,FA313061703.A,FA313063763.A,FA314023005.A,FA314041005.A,FA313066220.A,FA313069005.A,FA313065005.A,FA313081105.A,FA313064105.A,FA313092803.A,FA313092403.A,FA313094303.A,FA313094205.A,FA313096005.A,FA313070000.A,FA313078000.A,FA313093003.A,FA314190005.A,FA313111303.A,FA314100005.A,FA314122005.A,FA313161105.A,FA313161705.A,FA314123005.A,FA313152005.A,FA313140003.A,FA313195105.A,FA343073045.A,FA313196005.A,FA713014003.A,FA313170005.A,FA313172003.A,FA313193005.A,FA315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315015605.A,FR315013265.A,FR315013765.A,FR318080005.A,FR313011105.A,FR314000005.A,FR313064105.A,FR313094303.A,FR313111303.A,FR318200005.A,FC312090095.A,FL312000095.A,LM312010095.A,LM315015605.A,LM315013265.A,LM315013765.A,FL314090005.A,FL313011105.A,FL313011205.A,FL313011303.A,FL314000005.A,FL313011505.A,FL313011405.A,FL313020005.A,FL313030003.A,FL313091105.A,FL314022005.A,FL313061703.A,FL313063763.A,FL314023005.A,FL314041005.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081105.A,LM313064105.A,FL313092803.A,FL313092403.A,LM313094303.A,FL313094205.A,FL313096005.A,FL313070000.A,FL313078000.A,FL313093003.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL314123005.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073045.A,FL313196005.A,FL713014003.A,FL313170005.A,FL313172003.A,FL313193013.A,FL312090095.A
1960,45007,15167,29840,30536,24045,6491,-696,-271,-696,13072,-1146,2377,1328,897,152,13878,-271,62483,16017,20113,302,7283,51135,50978,157,-700,157,857,7181,21897,15167,451,-7881,-7881,924,-14,-14,0,1145,0,-403,1043,-23,528,35,35,0,996,801,0,801,195,165,0,154,11,0,0,-1403,68,-1471,0,9421,0,-140,-1513,-1252,-261,405,9984,76,0,9908,685,0,456,0,229,-8497,-198,0,418,616,481,-393,610,264,0,0,0,0,0,0,481,-417,252574,205213,99524,78386,27303,47361,37,37,0,12012,0,1656,7154,262,2940,37,37,0,26678,20878,0,20878,5800,1194,0,824,370,0,0,7403,1790,5613,0,252574,387873,0,3530,248820,248132,688,1252,130595,6426,0,124169,3676,0,3359,0,317,-135299
1961,47057,16034,31023,31916,25070,6846,-892,-1368,-892,13161,-2014,2278,1413,687,178,13901,-1368,63610,16565,23383,357,7779,48002,52734,-4732,-5636,-4732,904,9105,24646,16034,493,-14741,-14741,2656,21,21,0,381,58,81,-41,22,261,-2,-2,0,1662,1213,0,1213,449,165,0,171,-6,0,0,429,-14,443,0,18808,0,-70,7882,7575,307,222,10551,93,0,10458,223,0,259,0,-36,-16152,-930,0,482,1411,1915,1236,473,206,0,0,0,0,0,0,1915,-4651,266574,215738,103011,82023,30704,50836,58,58,0,12393,116,1737,7055,284,3201,35,35,0,28340,22091,0,22091,6249,1359,0,995,364,0,0,8651,1776,6875,0,266574,406524,0,3460,256702,255707,995,1474,140953,6519,0,134434,3935,0,3618,0,317,-139950
1962,50120,17170,32950,33851,26630,7221,-901,-1558,-901,14131,-2273,2592,1598,799,195,15107,-1558,68345,18626,23802,394,8357,53648,59018,-5370,-6383,-5370,1013,9924,26500,17170,594,-16308,-16308,3362,21,21,0,550,-9,-625,954,-15,245,-35,-35,0,1983,1911,0,1911,72,116,0,122,-6,0,0,727,229,498,0,19499,0,-99,7608,7065,543,260,11283,125,0,11158,447,0,433,0,14,-16137,-491,0,-661,-171,5177,2068,3107,2,0,0,0,0,0,0,5177,-1697,284095,230254,107166,88720,34368,53841,79,79,0,12943,18,1112,8098,269,3446,0,0,0,30323,24002,0,24002,6321,1475,0,1117,358,0,0,9021,2005,7016,0,284095,425742,0,3361,264310,262772,1538,1734,152072,6644,0,145428,4265,0,4051,0,214,-141647
1963,53169,18353,34816,35532,27931,7601,-716,-1732,-716,14686,-2222,2774,1685,880,209,16254,-1732,73024,21106,24968,463,8848,59045,61206,-2161,-3506,-2161,1345,8841,26669,18353,525,-12347,-12347,3800,4,4,0,27,57,-25,-443,-9,447,29,29,0,1525,1924,0,1924,-399,7,0,62,-55,0,0,2208,485,1723,0,16895,0,-47,4902,5073,-171,62,11844,131,0,11713,134,0,330,0,-196,-13095,-1425,0,-677,748,2168,1864,-18,322,0,0,0,0,0,0,2168,-2763,298206,240733,110868,90317,39548,57473,83,83,0,12970,59,1087,7671,260,3893,29,29,0,31848,25926,0,25926,5922,1482,0,1179,303,0,0,11061,2490,8571,0,298206,442616,0,3314,269212,267845,1367,1796,163734,6775,0,156959,4560,0,4381,0,179,-144410
1964,56446,19204,37242,38004,29901,8103,-762,-2018,-762,15424,-2719,3530,1723,1582,225,17491,-2018,70727,21782,25509,617,9353,56247,63139,-6892,-8389,-6892,1497,8540,27118,19204,626,-16929,-16929,3598,0,0,0,330,110,-273,462,12,19,-17,-17,0,2785,2834,0,2834,-49,47,0,112,-65,0,0,453,244,209,0,19610,0,-48,7271,6416,855,30,12530,104,0,12426,-173,0,95,0,-268,-16012,-276,0,-1193,-917,2350,1524,573,254,0,0,0,0,0,0,2350,-6315,311510,250988,114031,91830,45127,60522,83,83,0,13300,137,814,8165,272,3912,12,12,0,34633,28760,0,28760,5873,1529,0,1291,238,0,0,10965,2734,8231,0,311510,462235,0,3266,276483,274261,2222,1826,176064,6879,0,169185,4596,0,4476,0,120,-150725
1965,59322,20013,39309,40185,31500,8685,-875,-3709,-875,15427,-2989,3320,1800,1297,223,18592,-3709,78876,22742,27715,937,10149,60982,66497,-5515,-6735,-5515,1220,7156,26698,20013,471,-13892,-13892,3230,-11,-11,0,-1308,175,98,-1575,-22,16,33,33,0,2907,2926,0,2926,-19,-10,0,0,-10,0,0,1619,388,1231,0,17192,0,150,2924,2476,448,19,13503,134,0,13369,596,0,572,0,24,-13962,-597,0,-526,71,5304,3570,1551,183,0,0,0,0,0,0,5304,-2028,326409,262979,119241,92859,50879,63430,332,332,0,11992,152,912,6750,250,3928,45,45,0,37540,31686,0,31686,5854,1519,0,1291,228,0,0,12002,3122,8880,0,326409,479162,0,3416,279407,276737,2670,1845,189199,7013,0,182186,5295,0,5048,0,247,-152753
1966,65550,21049,44502,45696,35840,9856,-1194,-7050,-1194,14449,-3925,3885,1991,1649,245,20264,-7050,88609,30620,30347,1019,13352,69500,76487,-6987,-8328,-6987,1341,9682,30089,21049,642,-18011,-18011,4653,3,3,0,-380,270,-529,-356,-30,265,1310,1310,0,3908,2871,0,2871,1037,-6,0,-100,94,0,0,-182,1249,-1431,0,20996,0,682,4911,3556,1355,-62,14826,107,0,14719,639,0,783,0,-144,-16343,-903,0,-2571,-1668,6879,4657,1946,275,0,0,0,0,0,0,6879,-2353,345325,278893,125613,95719,57561,66432,76,76,0,11612,446,383,6370,220,4193,1355,1355,0,41448,34557,0,34557,6891,1513,0,1191,322,0,0,10428,4371,6057,0,345325,500431,0,4098,284318,280293,4025,1783,203745,7120,0,196625,6487,0,5831,0,656,-155106
1967,71308,22464,48844,50118,39112,11006,-1273,-7282,-1273,15164,-3785,4543,2334,1907,302,21931,-7282,92753,34102,37075,968,14933,68533,88059,-19526,-20721,-19526,1195,9252,31947,22464,-231,-29973,-29973,1916,7,7,0,927,512,97,481,47,-210,-88,-88,0,4568,3642,0,3642,926,171,0,193,-22,0,0,-3669,1468,-5137,0,31682,0,573,14324,10169,4155,-63,16022,80,0,15942,826,0,652,0,174,-29766,6944,0,6736,-207,11446,7890,2667,889,0,0,0,0,0,0,11446,-2332,374522,299818,134421,100596,64801,74704,83,83,0,12996,741,480,7525,267,3983,1267,1267,0,46016,38199,0,38199,7817,1684,0,1384,300,0,0,12658,5839,6819,0,374522,531960,0,4671,298642,290462,8180,1720,219425,7200,0,212225,7502,0,6483,0,1019,-157438
1968,78340,24155,54185,55210,43146,12064,-1025,-7316,-1025,16872,-4147,5536,2735,2464,337,24552,-7316,110345,37897,42417,953,16384,83078,96845,-13768,-16633,-13768,2865,6049,31118,24155,-914,-22681,-22681,6157,442,442,0,-774,588,868,-2268,101,-63,134,134,0,5118,3674,0,3674,1444,-172,0,128,-300,0,0,1409,575,834,0,32026,0,416,13923,10763,3160,-66,17046,-14,0,17060,707,0,-16,0,723,-25869,-1937,0,1251,3188,12799,7952,2800,2047,0,0,0,0,0,0,12799,-5771,399957,319583,143061,103491,73031,80374,525,525,0,12222,1467,1348,5119,368,3920,1401,1401,0,50834,41573,0,41573,9261,1512,0,1512,0,0,0,13880,6414,7466,0,399957,563166,0,5062,312565,301225,11340,1654,236203,7186,0,229017,7682,0,6467,0,1215,-163209
1969,83627,25819,57808,59071,46040,13031,-1263,-9589,-1263,17812,-4509,5835,2490,3019,326,27464,-9589,125139,43314,46341,998,18206,95315,100465,-5150,-7447,-5150,2297,5014,30729,25819,104,-12461,-12461,3941,967,967,0,1934,-410,1037,1553,-157,-89,-1297,-1297,0,4436,3466,0,3466,970,184,0,184,0,0,0,-2283,919,-3202,0,17208,0,272,-1555,749,-2304,-81,19009,66,0,18943,-437,0,-78,0,-359,-13267,286,0,1092,806,18534,11083,3725,3726,0,0,0,0,0,0,18534,11373,427291,343047,154673,105910,82464,84244,1492,1492,0,14156,814,2385,6915,211,3831,104,104,0,55270,45039,0,45039,10231,1696,0,1696,0,0,0,11526,7333,4193,0,427291,579127,0,5334,311010,301974,9036,1573,253904,7252,0,246652,7306,0,6389,0,917,-151836
1970,89511,27634,61877,64343,49647,14696,-2466,-15767,-2466,18081,-4753,6701,2809,3494,398,33330,-15767,116349,45504,56357,959,23160,67528,102344,-34816,-36394,-34816,1578,2558,30461,27634,-269,-38952,-38952,1619,-301,-1152,851,2345,-1078,-375,3530,252,16,-97,-97,0,2892,2590,0,2590,302,233,0,233,0,0,0,-3453,-777,-2676,0,38608,867,222,14519,15477,-958,-75,23174,106,0,23068,-99,400,-1038,0,539,-36989,-3539,0,-5502,-1963,24286,13203,5839,5245,0,0,0,0,0,0,24286,-15647,456587,370169,168165,110090,91914,86418,1191,340,851,16501,372,2010,9809,463,3847,7,7,0,58154,47621,0,47621,10533,1929,0,1929,0,0,0,8636,6556,2080,0,456587,624070,867,5556,325529,317451,8078,1498,284565,7358,0,277207,6055,400,5351,0,304,-167483
1971,95168,29064,66104,68888,51514,17374,-2784,-16697,-2784,18992,-4641,6971,3108,3357,506,35235,-16697,116269,50330,66891,928,28154,55785,106681,-50896,-52257,-50896,1361,-1705,27798,29064,-439,-50552,-50552,4621,-17,-266,249,1836,-191,-1349,3501,57,-182,18,18,0,2806,3186,0,3186,-380,247,0,247,0,0,0,-269,-1704,1435,0,54329,717,490,27790,28840,-1050,-72,25699,71,0,25628,-295,0,-1123,0,828,-49708,3569,0,2726,-844,22262,13353,4749,4161,94,94,0,0,0,136,22220,-26467,483295,391164,182422,109194,99548,92131,1268,74,1194,18337,263,661,13228,520,3665,25,25,0,60279,50126,0,50126,10153,2176,0,2176,0,0,0,10046,4852,5194,0,483295,677245,1720,6046,353319,346291,7028,1426,309795,7429,0,302366,4939,400,4228,0,311,-193950
1972,101319,30204,71115,73493,55043,18450,-2378,-21119,-2378,18481,-6583,6991,3250,3231,510,37630,-21119,136536,58258,73820,1120,37690,63286,112297,-49011,-49701,-49011,690,-1568,29349,30204,-713,-48133,-48133,423,700,-3,703,-1208,1,-151,-978,86,-166,-17,-17,0,1849,2542,0,2542,-693,271,0,271,0,0,0,-1172,-819,-353,0,46732,710,533,18091,17192,899,-86,27253,152,0,27101,231,0,201,0,30,-46309,5124,0,3300,-1824,34402,21735,8546,4122,94,61,33,0,0,61,34435,-10142,519613,424734,205043,112319,107372,94879,2035,77,1958,17984,49,543,13287,606,3499,8,8,0,62128,52668,0,52668,9460,2447,0,2447,0,0,0,10277,4033,6244,0,519613,723705,2491,6579,371410,363483,7927,1340,336744,7581,0,329163,5141,400,4429,0,312,-204092
1973,105334,32354,72980,76365,57166,19199,-3384,-23666,-3384,19799,-5149,8360,3365,4341,654,43291,-23666,148878,74546,85702,1048,38880,76225,114534,-38309,-39214,-38309,905,-3907,31652,32354,-3205,-35307,-35307,4622,-9,0,-9,-1376,-91,35,-1756,-167,603,-2,-2,0,3858,4447,0,4447,-589,373,0,373,0,0,0,1778,274,1504,0,39079,0,422,9150,8720,430,-71,29151,175,0,28976,427,0,790,0,-363,-34457,4955,0,4105,-850,46252,26584,10654,9014,271,217,54,0,0,276,46247,11988,571026,470817,232712,118393,119712,100209,2251,85,2166,17819,4,632,12642,439,4102,6,6,0,64804,55933,0,55933,8871,2820,0,2820,0,0,0,12509,4307,8202,0,571026,763130,2767,7001,380560,372203,8357,1269,365602,7756,0,357846,5931,400,5219,0,312,-192104
1974,113194,35383,77812,81060,60482,20578,-3249,-24297,-3249,20064,-3191,10063,3635,5550,878,47984,-24297,166457,84085,104602,1081,40903,81821,123169,-41348,-44479,-41348,3131,-5390,35666,35383,-5673,-39089,-39089,4193,87,-85,172,-3773,17,1268,-4555,38,-541,-6,-6,0,6351,3653,0,3653,2698,537,0,537,0,0,0,997,998,-1,0,43655,0,445,14734,14864,-130,-106,29145,115,0,29030,-563,0,-556,0,-7,-39462,4218,0,4591,373,68554,45143,11343,12069,71,36,35,0,0,42,68583,28322,645625,539658,278687,126812,134159,105967,2374,0,2374,14230,3,1935,8254,477,3561,0,0,0,72220,59586,0,59586,12634,3357,0,3357,0,0,0,13786,5305,8481,0,645625,809407,2809,7333,395294,387067,8227,1163,394520,7871,0,386649,8288,400,6165,0,1723,-163782
1975,121336,38744,82592,87008,64417,22591,-4417,-28507,-4417,22077,-4336,10636,4281,5382,973,52467,-28507,159378,88054,134319,1106,49761,35951,133876,-97925,-102749,-97925,4824,676,39853,38744,-434,-103425,-103425,16873,119,53,66,3407,158,407,2738,95,9,0,0,0,13422,6913,0,6913,6509,654,0,654,0,0,0,-729,1190,-1919,0,120876,0,837,89441,89794,-353,-90,30523,2281,0,28242,165,100,774,0,-709,-104003,-3121,0,-2543,578,31350,8355,15001,7994,-211,-105,-106,0,0,-124,31263,-74607,696566,572094,288182,139536,144376,124472,2335,0,2335,17531,0,2236,11153,572,3570,0,0,0,85642,66499,0,66499,19143,4011,0,4011,0,0,0,14953,6495,8458,0,696566,934955,2685,8170,484853,476979,7874,1073,424758,10152,0,414606,13416,500,11791,0,1125,-238389
