date,All sectors; corporate and foreign bonds; liability,Nonfinancial corporate business; corporate bonds; liability,Domestic financial sectors; corporate and foreign bonds; liability,U.S.-chartered depository institutions; corporate and foreign bonds; liability,Issuers of asset-backed securities; corporate and foreign bonds; liability,Finance companies; corporate and foreign bonds; liability,Real estate investment trusts; corporate and foreign bonds; liability,Security brokers and dealers; corporate and foreign bonds; liability,Holding companies; corporate and foreign bonds; liability,Other financial business; corporate and foreign bonds where the proceeds are down-streamed to broker-dealer subsidiaries by investment banks that are holding-company parents; liability,Rest of the world; bonds; liability,All sectors; corporate and foreign bonds; asset,Households and nonprofit organizations; corporate and foreign bonds; asset,Federal government; corporate bonds issued by commercial banking under TARP; asset,State and local governments; corporate and foreign bonds; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds; asset,U.S.-chartered depository institutions; private MBS and CMOs; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds, excluding private MBS and CMOs; asset,Foreign banking offices in the U.S., including IBFs; corporate and foreign bonds; asset,Banks in U.S.-affiliated areas; corporate and foreign bonds; asset,Credit unions; corporate and foreign bonds; asset,Credit unions; mortgage-backed securities and other asset-backed bonds; asset,Credit unions; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Property-casualty insurance companies; corporate and foreign bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; mortgage-backed securities and other asset-backed bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Life insurance companies; corporate and foreign bonds; asset,Life insurance companies, general accounts; mortgage-backed securities and other asset-backed bonds, including those held by U.S. captive reinsurers; asset,Life insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Private pension funds; corporate and foreign bonds; asset,Federal government retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,Money market funds; corporate and foreign bonds; asset,Mutual funds; corporate and foreign bonds; asset (market value),Closed-end funds; corporate and foreign bonds; asset,Exchange-traded funds; corporate and foreign bonds; asset,Government-sponsored enterprises; corporate and foreign bonds; asset,Government-sponsored enterprises; mortgage-backed securities and other asset-backed bonds; asset,Government-sponsored enterprises; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Finance companies; corporate and foreign bonds; asset,Real estate investment trusts; corporate and foreign bonds; asset,Security brokers and dealers; corporate and foreign bonds (net); asset,Holding companies; corporate and foreign bonds; asset,Other financial business; corporate and foreign bonds, including financial stabilization programs; asset,Rest of the world; corporate bonds; asset,Rest of the world; U.S. mortgage-backed securities and other U.S. asset-backed bonds; asset,Rest of the world: U.S. corporate bonds, excluding mortgage-backed securities and other asset-backed bonds; asset
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,923,953,62,0,0,62,0,0,0,0,-92,923,-944,0,0,151,0,151,9,15,0,0,0,12,0,12,1805,0,1805,200,0,20,0,27,5,0,0,0,0,0,0,-103,0,0,-274,0,-274
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2923,2813,131,0,0,131,0,0,0,0,-21,2923,-808,0,0,322,0,322,10,-11,0,0,0,63,0,63,3020,0,3020,200,0,30,0,-8,45,0,0,0,0,0,0,9,0,0,51,0,51
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
