date,State and local government employee defined contribution retirement funds; total financial assets,State and local government employee defined contribution retirement funds; money market fund shares, including variable annuity money market fund shares; asset,State and local government employee defined contribution retirement funds; mutual fund shares, including variable annuity mutual fund shares; asset,State and local government employee defined contribution retirement funds; miscellaneous assets,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset,State and local government employee defined contribution retirement funds; unidentified miscellaneous assets,State and local government employee defined contribution retirement funds; total financial assets
1945:Q4,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0
1973:Q1,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0
1974:Q1,0,0,0,0,0,0,0
1974:Q2,0,0,0,0,0,0,0
1974:Q3,0,0,0,0,0,0,0
1974:Q4,0,0,0,0,0,0,0
1975:Q1,0,0,0,0,0,0,0
1975:Q2,0,0,0,0,0,0,0
1975:Q3,0,0,0,0,0,0,0
1975:Q4,0,0,0,0,0,0,0
1976:Q1,0,0,0,0,0,0,0
1976:Q2,0,0,0,0,0,0,0
1976:Q3,0,0,0,0,0,0,0
1976:Q4,0,0,0,0,0,0,0
1977:Q1,0,0,0,0,0,0,0
1977:Q2,0,0,0,0,0,0,0
1977:Q3,0,0,0,0,0,0,0
1977:Q4,0,0,0,0,0,0,0
1978:Q1,0,0,0,0,0,0,0
1978:Q2,0,0,0,0,0,0,0
1978:Q3,0,0,0,0,0,0,0
1978:Q4,0,0,0,0,0,0,0
1979:Q1,0,0,0,0,0,0,0
1979:Q2,0,0,0,0,0,0,0
1979:Q3,0,0,0,0,0,0,0
1979:Q4,3397,0,3397,0,0,0,3397
1980:Q1,3562,0,3562,0,0,0,3562
1980:Q2,3731,0,3731,0,0,0,3731
1980:Q3,4168,0,4168,0,0,0,4168
1980:Q4,4551,0,4551,0,0,0,4551
1981:Q1,4781,0,4781,0,0,0,4781
1981:Q2,4818,0,4818,0,0,0,4818
1981:Q3,4379,0,4379,0,0,0,4379
1981:Q4,4766,0,4766,0,0,0,4766
1982:Q1,4509,0,4509,0,0,0,4509
1982:Q2,4535,0,4535,0,0,0,4535
1982:Q3,5089,0,5089,0,0,0,5089
1982:Q4,6096,0,6096,0,0,0,6096
1983:Q1,6827,0,6827,0,0,0,6827
1983:Q2,7645,0,7645,0,0,0,7645
1983:Q3,7746,0,7746,0,0,0,7746
1983:Q4,7872,0,7872,0,0,0,7872
1984:Q1,7912,0,7912,0,0,0,7912
1984:Q2,7620,0,7620,0,0,0,7620
1984:Q3,8342,0,8342,0,0,0,8342
1984:Q4,8592,0,8592,0,0,0,8592
1985:Q1,9352,0,9352,0,0,0,9352
1985:Q2,9947,0,9947,0,0,0,9947
1985:Q3,9701,0,9701,0,0,0,9701
1985:Q4,11332,0,11332,0,0,0,11332
1986:Q1,13631,0,13631,0,0,0,13631
1986:Q2,14269,0,14269,0,0,0,14269
1986:Q3,13625,0,13625,0,0,0,13625
1986:Q4,14231,0,14231,0,0,0,14231
1987:Q1,17532,0,17532,0,0,0,17532
1987:Q2,18238,0,18238,0,0,0,18238
1987:Q3,19145,0,19145,0,0,0,19145
1987:Q4,15047,0,15047,0,0,0,15047
1988:Q1,15996,0,15996,0,0,0,15996
1988:Q2,16769,192,16577,0,0,0,16769
1988:Q3,16810,337,16473,0,0,0,16810
1988:Q4,17272,482,16790,0,0,0,17272
1989:Q1,18245,661,17584,0,0,0,18245
1989:Q2,19405,751,18654,0,0,0,19405
1989:Q3,21212,899,20313,0,0,0,21212
1989:Q4,21560,1014,20546,0,0,0,21560
1990:Q1,20908,1120,19788,0,0,0,20908
1990:Q2,22135,1216,20919,0,0,0,22135
1990:Q3,19183,1414,17769,0,0,0,19183
1990:Q4,20739,1551,19188,0,0,0,20739
1991:Q1,22819,1051,21768,0,0,0,22819
1991:Q2,22773,1047,21726,0,0,0,22773
1991:Q3,24164,1106,23058,0,0,0,24164
1991:Q4,26007,1184,24823,0,0,0,26007
1992:Q1,25401,1159,24242,0,0,0,25401
1992:Q2,25727,1172,24555,0,0,0,25727
1992:Q3,26397,1200,25197,0,0,0,26397
1992:Q4,28070,1269,26801,0,0,0,28070
1993:Q1,29418,1326,28092,0,0,0,29418
1993:Q2,29951,1349,28602,0,0,0,29951
1993:Q3,29879,1393,28486,0,0,0,29879
1993:Q4,31145,1363,29782,0,0,0,31145
1994:Q1,30435,1397,29038,0,0,0,30435
1994:Q2,30681,1442,29239,0,0,0,30681
1994:Q3,32221,1455,30766,0,0,0,32221
1994:Q4,31927,1492,30435,0,0,0,31927
1995:Q1,34156,1580,32576,0,0,0,34156
1995:Q2,36977,1654,35323,0,0,0,36977
1995:Q3,39947,1666,38281,0,0,0,39947
1995:Q4,41955,1668,40287,0,0,0,41955
1996:Q1,44240,1697,42543,0,0,0,44240
1996:Q2,46030,1688,44342,0,0,0,46030
1996:Q3,47427,1800,45627,0,0,0,47427
1996:Q4,148908,2977,87294,58637,58637,0,148908
1997:Q1,156915,3364,92196,61355,61355,0,156915
1997:Q2,175183,3664,103915,67604,67604,0,175183
1997:Q3,188532,3938,112287,72307,72307,0,188532
1997:Q4,196138,4267,116674,75197,75197,0,196138
